,Doc.ID,Filer.Name,Member.Name,State,District,Year,Destination,Filing.Type,Departure.Date,Return.Date,Travel.Sponsor
4341,500011539,Earl Blumenauer,"Blumenauer, Earl",OR,3,2014,"Tokyo, Japan",Original,2014-04-11,2014-04-18,Aspen Institute Congressional Program
4342,500011543,Jim Jordan,"Jordan, Jim",OH,4,2014,"Ft. Myers, FL",Original,2014-04-10,2014-04-11,Heritage Foundation
4343,500011544,Ellen McLaren,"Deutch, Theodore",FL,22,2014,"New York, NY",Original,2014-04-10,2014-04-11,Association for Competitive Technology (ACT)
4344,500011545,Jonathan Nabavi,"Holding, George",NC,2,2014,"New York, NY",Original,2014-04-10,2014-04-11,Association for Competitive Technology
4345,500011553,Zoe Lofgren,"Lofgren, Zoe",CA,19,2014,"Kyoto, Japan",Original,2014-04-11,2014-04-18,Aspen Institute Congressional Program
4346,500011553,Zoe Lofgren,"Lofgren, Zoe",CA,19,2014,"Tokyo, Japan",Original,2014-04-11,2014-04-18,Aspen Institute Congressional Program
4347,500011554,Matt Stoller,"Grayson, Alan",FL,9,2014,"Philadelphia, PA",Amendment,2014-02-06,2014-02-08,Progressive Congress
4348,500011555,Ayofemi Kirby,"Fudge, Marcia",OH,11,2014,"Las Vegas, NV",Original,2014-04-06,2014-04-13,National Association of Broadcasters
4349,500011556,Alan Nunnelee,"Nunnelee, Alan",MS,1,2014,"Kyoto, Japan",Original,2014-04-11,2014-04-18,Aspen Institute
4350,500011556,Alan Nunnelee,"Nunnelee, Alan",MS,1,2014,"Tokyo, Japan",Original,2014-04-11,2014-04-18,Aspen Institute
4351,500011557,Erik Elam,"Young, Don",AK,0,2014,"Key Largo, FL",Original,2014-04-16,2014-04-19,"The Everglades Foundation, Inc."
4352,500011558,Norberto Salinas,"Conyers, John",MI,13,2014,"New York, NY",Original,2014-04-10,2014-04-11,Association for Competitive Technology
4353,500011559,Nicole Gustafson,"Cantor, Eric",VA,7,2014,"New York, NY",Original,2014-04-10,2014-04-11,Association for Competitive Technology (ACT)
4354,500011560,Connor Walsh,"Cantor, Eric",VA,7,2014,"New York, NY",Original,2014-04-10,2014-04-11,Association for Competitive Technology (ACT)
4355,500011561,John Yarmuth,"Yarmuth, John",KY,3,2014,"New Haven, CT",Original,2014-03-31,2014-04-01,Yale University
4356,500011562,Matt Weinstein,"Byrne, Bradley",AL,1,2014,"Ankara, Turkey",Original,2014-04-12,2014-04-19,Turkic American Federation of the Southeast
4357,500011562,Matt Weinstein,"Byrne, Bradley",AL,1,2014,"Cesme, Turkey",Original,2014-04-12,2014-04-19,Turkic American Federation of the Southeast
4358,500011562,Matt Weinstein,"Byrne, Bradley",AL,1,2014,"Istanbul, Turkey",Original,2014-04-12,2014-04-19,Turkic American Federation of the Southeast
4359,500011563,Andrew Ginsburg,"Swalwell, Eric",CA,15,2014,"New York, NY",Original,2014-04-10,2014-04-11,Association for Competitive Technology
4360,500011564,Michelle Lane,"Benishek, Dan",MI,1,2014,"Ankara, Turkey",Original,2014-04-11,2014-04-19,Turkic American Federation of Midwest (TAFM)
4361,500011564,Michelle Lane,"Benishek, Dan",MI,1,2014,"Istanbul, Turkey",Original,2014-04-11,2014-04-19,Turkic American Federation of Midwest (TAFM)
4362,500011564,Michelle Lane,"Benishek, Dan",MI,1,2014,"Izmir, Turkey",Original,2014-04-11,2014-04-19,Turkic American Federation of Midwest (TAFM)
4363,500011565,David E. Price,"Price, David",NC,4,2014,"Kyoto, Japan",Original,2014-04-11,2014-04-22,Aspen Institute Congressional Program
4364,500011565,David E. Price,"Price, David",NC,4,2014,"Tokyo, Japan",Original,2014-04-11,2014-04-22,Aspen Institute Congressional Program
4365,500011566,Doris O. Matsui,"Matsui, Doris",CA,6,2014,"Kyoto, Japan",Original,2014-04-11,2014-04-18,Aspen Institute Congressional Program
4366,500011566,Doris O. Matsui,"Matsui, Doris",CA,6,2014,"Tokyo, Japan",Original,2014-04-11,2014-04-18,Aspen Institute Congressional Program
4367,500011567,Melissa Murphy,"Wilson, Joe",SC,2,2014,"Ankara, Turkey",Original,2014-04-12,2014-04-19,Turkic American Federation of the Southeast
4368,500011567,Melissa Murphy,"Wilson, Joe",SC,2,2014,"Cesme, Turkey",Original,2014-04-12,2014-04-19,Turkic American Federation of the Southeast
4369,500011567,Melissa Murphy,"Wilson, Joe",SC,2,2014,"Istanbul, Turkey",Original,2014-04-12,2014-04-19,Turkic American Federation of the Southeast
4370,500011568,Whitney Verett,"Rogers, Mike",AL,3,2014,"Ankara, Turkey",Original,2014-04-12,2014-04-19,Turkic American Federation of the Southeast
